Timestamp,What describes you best?,What year of course are you in?,How do you specify your gender?,What's your age?,What's your Grade Point Average/Percentage till now?,Have you been assigned clinical duty till now? Select yes even if you only go and observe things. ,I can recognize my emotions as I experience them.,I lose my temper when I feel frustrated.,People have told me that I'm a good listener.,I know how to calm myself down when I feel anxious or upset.,I enjoy organizing groups.,I find it hard to focus on something over the long term.,I find it difficult to move on when I feel frustrated or unhappy.,I know my strengths and weaknesses.,I avoid conflict and negotiations.,I feel that I don't enjoy my work.,"I ask people for feedback on what I do well, and how I can improve.","I set long-term goals, and review my progress regularly.",I find it difficult to read other people's emotions.,I struggle to build rapport with others.,I use active listening skills when people speak to me.,1. This face is expressing.,2. This face is expressing.,3. This face is expressing.,4. This face is expressing.,5. This face is expressing.,6. This face is expressing.,7. This face is expressing.,8. This face is expressing.,9. This face is expressing.,10. This face is expressing.,11. This face is expressing.,12.This face is expressing.,13. This face is expressing.,14. This face is expressing.,15. This face is expressing.,1. You communicate with the patient in clear and polite manner.,2. You critically review patient's condition and identify his/her needs.,3. You anticipate the needs and follow up with patient and their family.,4. You show the ability to respond to emergency situation.,5. You communicate effectively with other team members while working.,6. You try to solve problems as they occur.,7. You feel stressed while handling emergency situations.,8. You have difficulty coping at work as time passes while in duty.,9. You  understand non verbal communication appropriately to convey your thoughts with others while on duty.,"10. You focus on patient centered communication, goals and concerns.","11. You educate the patient/family about indications, actions and side effects of patient's medications every time they seek help.",12. You provide patient care equally irrespective of their gender or age.,13. You ask pertinent questions related to patient condition and care.,14. You feel mentally exhausted after completing the clinical duty.,15. How do you rate your performance in clinical duty.(Rate out of 10),Thank you for giving your time. Take care of yourself and your family in these hard times. Wishing you all the best in your future endeavors.
10/21/2020 18:14:12,Nursing student,3,Female,21,75%,Yes,Most of the time,Most of the time,Sometimes,Sometimes,Rarely,Always,Always,Always,Most of the time,Rarely,Never,Sometimes,Rarely,Never,Always,Embarrassment,Politeness,Disgust,Shame,Pride,Surprise,Contempt,Disgust,Love,Pain,Sadness,Amusement,Interest,Sadness,Contempt,Always,Most of the time,Rarely,Always,Always,Always,Most of the time,Sometimes,Sometimes,Most of the time,Sometimes,Always,Always,Most of the time,7/10,
10/28/2020 21:02:32,MBBS student,2,Female,20,A,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/28/2020 21:04:10,MBBS student,2,Male,22,60,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/28/2020 21:04:33,MBBS student,2,Male,20,58,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/28/2020 21:04:38,MBBS student,2,Female,20,65,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/28/2020 21:09:38,MBBS student,2,Male,19,60,Yes,Frequently,Frequently,Most of the time,Most of the time,Sometimes,Frequently,Most of the time,Frequently,Most of the time,Frequently,Frequently,Frequently,Most of the time,Frequently,Sometimes,Embarrassment,Happiness,Anger,Shame,Pride,Surprise,Disgust,Disgust,Flirtatiousness,Sadness,Anger,Excitement,Surprise,Disgust,Desire,Frequently,Frequently,Frequently,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Frequently,Frequently,Frequently,Frequently,Frequently,Most of the time,6,Thank u so much
10/28/2020 21:20:56,MBBS student,2,Female,21,65,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/28/2020 21:22:28,MBBS student,2,Male,22,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/28/2020 21:37:54,MBBS student,2,Male,20,6,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/28/2020 21:46:12,MBBS student,2,Female,21,77,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/28/2020 21:58:40,MBBS student,2,Female,20,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/29/2020 0:25:10,Doctor,2,Male,20,60,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/29/2020 3:21:32,Doctor,2,Male,20,60,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/30/2020 22:10:01,MBBS student,2,Female,20,60,Yes,Always,Never,Most of the time,Always,Sometimes,Sometimes,Sometimes,Most of the time,Most of the time,Rarely,Most of the time,Sometimes,Most of the time,Sometimes,Most of the time,Fear,Politeness,Anger,Shame,Pride,Surprise,Contempt,Disgust,Desire,Pain,Sadness,Amusement,Interest,Sadness,Love,Always,Most of the time,Most of the time,Sometimes,Most of the time,Most of the time,Sometimes,Most of the time,Most of the time,Most of the time,Most of the time,Always,Most of the time,Sometimes,5,
10/30/2020 22:38:11,MBBS student,2,Female,22,63,Yes,Most of the time,Rarely,Most of the time,Most of the time,Sometimes,Most of the time,Rarely,Most of the time,Most of the time,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Most of the time,Fear,Interest,Anger,Amusement,Pride,Surprise,Contempt,Pain,Love,Shame,Interest,Amusement,Surprise,Sadness,Contempt,Most of the time,Sometimes,Most of the time,Rarely,Most of the time,Most of the time,Sometimes,Sometimes,Sometimes,Most of the time,Most of the time,Most of the time,Rarely,Sometimes,5,
10/30/2020 22:46:12,MBBS student,2,Female,20,62,Yes,Frequently,Sometimes,Frequently,Always,Most of the time,Rarely,Never,Most of the time,Frequently,Never,Most of the time,Most of the time,Rarely,Rarely,Frequently,Embarrassment,Politeness,Anger,Embarrassment,Pride,Surprise,Contempt,Disgust,Flirtatiousness,Pain,Compassion,Amusement,Interest,Sadness,Desire,Always,Always,Always,Most of the time,Always,Most of the time,Sometimes,Rarely,Most of the time,Always,Always,Always,Most of the time,Frequently,7,Thank you
10/31/2020 10:19:19,MBBS student,2,Female,21,Average,Yes,Sometimes,Most of the time,Always,Sometimes,Rarely,Always,Always,Most of the time,Sometimes,Most of the time,Sometimes,Rarely,Sometimes,Rarely,Most of the time,Embarrassment,Flirtatiousness,Disgust,Shame,Pride,Surprise,Sadness,Anger,Love,Shame,Sadness,Amusement,Interest,Sadness,Desire,Most of the time,Sometimes,Never,Sometimes,Sometimes,Sometimes,Always,Frequently,Rarely,Most of the time,Rarely,Always,Most of the time,Sometimes,3,
10/31/2020 13:32:22,MBBS student,2,Male,20,60%,Yes,Most of the time,Sometimes,Always,Always,Sometimes,Sometimes,Rarely,Always,Always,Never,Sometimes,Always,Sometimes,Sometimes,Always,Embarrassment,Politeness,Disgust,Amusement,Pride,Surprise,Contempt,Disgust,Flirtatiousness,Shame,Sadness,Excitement,Interest,Sadness,Desire,Always,Always,Most of the time,Always,Always,Most of the time,Sometimes,Rarely,Always,Always,Always,Always,Most of the time,Sometimes,7,
10/31/2020 13:53:23,MBBS student,2,Male,20,,Yes,Rarely,Most of the time,Sometimes,Never,Always,Always,Most of the time,Rarely,Most of the time,Never,Frequently,Most of the time,Always,Most of the time,Frequently,Embarrassment,Happiness,Anger,Shame,Pride,Surprise,Disgust,Pain,Flirtatiousness,Sadness,Interest,Amusement,Interest,Disgust,Desire,Most of the time,Always,Sometimes,Frequently,Always,Most of the time,Most of the time,Sometimes,Rarely,Rarely,Sometimes,Always,Most of the time,Never,4,
10/31/2020 15:22:21,MBBS student,2,Female,20,65,Yes,Most of the time,Frequently,Most of the time,Most of the time,Frequently,Rarely,Most of the time,Most of the time,Most of the time,Rarely,Sometimes,Sometimes,Rarely,Frequently,Most of the time,Surprise,Happiness,Anger,Embarrassment,Pride,Surprise,Contempt,Disgust,Flirtatiousness,Pain,Interest,Amusement,Desire,Disgust,Desire,Always,Most of the time,Most of the time,Most of the time,Always,Always,Frequently,Sometimes,Most of the time,Most of the time,Always,Always,Most of the time,Most of the time,7,
10/31/2020 15:27:57,MBBS student,2,Female,21,60%,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/31/2020 15:32:34,MBBS student,2,Female,21,90,Yes,Most of the time,Sometimes,Most of the time,Most of the time,Always,Sometimes,Frequently,Most of the time,Most of the time,Rarely,Always,Always,Sometimes,Sometimes,Most of the time,Embarrassment,Happiness,Disgust,Amusement,Pride,Surprise,Contempt,Anger,Love,Sadness,Sadness,Excitement,Interest,Disgust,Contempt,Most of the time,Always,Most of the time,Always,Always,Most of the time,Most of the time,Sometimes,Most of the time,Most of the time,Always,Always,Always,Sometimes,7,
10/31/2020 16:14:13,MBBS student,2,Female,20,60%,Yes,Always,Frequently,Never,Most of the time,Rarely,Sometimes,Never,Always,Always,Never,Never,Most of the time,Sometimes,Never,Always,Embarrassment,Happiness,Anger,Amusement,Pride,Surprise,Disgust,Disgust,Love,Pain,Sadness,Amusement,Interest,Shame,Contempt,Always,Always,Always,Sometimes,Rarely,Most of the time,Most of the time,Rarely,Sometimes,Most of the time,Always,Always,Always,Sometimes,3,
11/1/2020 15:10:36,MBBS student,1,Male,21,80,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/1/2020 15:11:28,MBBS student,1,Male,21,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/1/2020 15:12:37,MBBS student,1,Male,22,65,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/1/2020 15:12:42,MBBS student,1,Male,22,95,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/1/2020 15:13:19,MBBS student,1,Female,19,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/1/2020 15:14:36,MBBS student,1,Male,19,90,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/1/2020 15:14:39,MBBS student,1,Male,20,,Yes,Always,Always,Rarely,Never,Never,Rarely,Rarely,Always,Most of the time,Never,Always,Most of the time,Rarely,Most of the time,Most of the time,Surprise,Happiness,Anger,Amusement,Pride,Surprise,Disgust,Disgust,Love,Sadness,Sadness,Desire,Interest,Disgust,Love,Frequently,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Always,Most of the time,Frequently,Most of the time,Rarely,Rarely,Frequently,Most of the time,Kuch v,
11/1/2020 15:14:57,MBBS student,1,Male,20,80,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/1/2020 15:16:43,MBBS student,1,Female,22,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/1/2020 15:17:23,MBBS student,1,Female,19,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/1/2020 15:19:37,MBBS student,1,Female,23,76,Yes,Most of the time,Sometimes,Most of the time,Always,Always,Never,Never,Always,Always,Never,Most of the time,Sometimes,Never,Never,Always,Embarrassment,Happiness,Anger,Amusement,Pride,Surprise,Disgust,Disgust,Flirtatiousness,Pain,Sadness,Amusement,Surprise,Sadness,Desire,Most of the time,Never,Most of the time,Most of the time,Always,Always,Sometimes,Sometimes,Most of the time,Most of the time,Always,Always,Most of the time,Sometimes,7,
11/1/2020 15:23:29,MBBS student,5,Male,22,60%,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/1/2020 15:25:31,MBBS student,1,Male,20,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/1/2020 15:29:39,MBBS student,2,Male,21,,Yes,Most of the time,Rarely,Always,Most of the time,Rarely,Never,Rarely,Rarely,Always,Most of the time,Always,Always,Rarely,Most of the time,Always,Embarrassment,Politeness,Anger,Sadness,Pride,Surprise,Contempt,Disgust,Flirtatiousness,Shame,Compassion,Amusement,Interest,Sadness,Desire,Most of the time,Most of the time,Always,Most of the time,Always,Always,Sometimes,Rarely,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,7,
11/1/2020 15:29:41,MBBS student,4,Male,25,62,Yes,Most of the time,Sometimes,Sometimes,Sometimes,Never,Most of the time,Most of the time,Most of the time,Most of the time,Rarely,Frequently,Always,Sometimes,Sometimes,Most of the time,Fear,Happiness,Anger,Embarrassment,Pride,Surprise,Contempt,Disgust,Flirtatiousness,Pain,Compassion,Excitement,Surprise,Sadness,Desire,Most of the time,Always,Sometimes,Most of the time,Always,Most of the time,Sometimes,Sometimes,Most of the time,Most of the time,Always,Always,Always,Most of the time,8,
11/1/2020 15:30:26,MBBS student,1,Female,21,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/1/2020 15:31:20,A good person ,1,Female,21,85,Yes,Always,Never,Always,Always,Never,Most of the time,Most of the time,Always,Most of the time,Never,Never,Never,Sometimes,Most of the time,Most of the time,Fear,Happiness,Anger,Amusement,Pride,Surprise,Disgust,Disgust,Flirtatiousness,Pain,Sadness,Excitement,Surprise,Sadness,Desire,Most of the time,Always,Most of the time,Always,Always,Always,Sometimes,Most of the time,Most of the time,Most of the time,Most of the time,Always,Always,Most of the time,8,My pleasure 
11/1/2020 15:31:20,MBBS student,2,Male,23,65%,Yes,Most of the time,Rarely,Sometimes,Most of the time,Most of the time,Always,Frequently,Most of the time,Always,Rarely,Rarely,Sometimes,Sometimes,Most of the time,Most of the time,Fear,Happiness,Anger,Embarrassment,Pride,Surprise,Contempt,Disgust,Flirtatiousness,Pain,Compassion,Excitement,Surprise,Disgust,Desire,Always,Most of the time,Most of the time,Frequently,Always,Always,Sometimes,Frequently,Most of the time,Frequently,Frequently,Always,Most of the time,Most of the time,7,Thank you... question asked was good and relatable....
11/1/2020 15:32:53,MBBS student,1,Male,21,Nope,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/1/2020 15:37:34,MBBS student,1,Female,20,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/1/2020 15:55:03,MBBS student,1,Male,18,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/1/2020 16:28:46,MBBS student,4,Female,24,62,Yes,Most of the time,Always,Most of the time,Most of the time,Sometimes,Sometimes,Rarely,Most of the time,Frequently,Sometimes,Rarely,Sometimes,Sometimes,Rarely,Most of the time,Fear,Politeness,Anger,Embarrassment,Contempt,Surprise,Contempt,Disgust,Flirtatiousness,Pain,Sadness,Excitement,Surprise,Sadness,Desire,Most of the time,Most of the time,Most of the time,Frequently,Most of the time,Most of the time,Sometimes,Sometimes,Sometimes,Frequently,Most of the time,Most of the time,Most of the time,Always,6,Thank you.  Wish u the same
11/1/2020 17:02:20,MBBS student,2,Male,21,54%,Yes,Most of the time,Most of the time,Sometimes,Frequently,Rarely,Sometimes,Frequently,Frequently,Sometimes,Frequently,Rarely,Never,Most of the time,Most of the time,Never,Fear,Interest,Anger,Sadness,Pride,Surprise,Shame,Disgust,Flirtatiousness,Pain,Compassion,Amusement,Interest,Sadness,Desire,Frequently,Frequently,Frequently,Sometimes,Frequently,Sometimes,Frequently,Sometimes,Sometimes,Sometimes,Frequently,Frequently,Frequently,Frequently,6,You are welcome 
